Name,CR,Size,HP,AC,Base Speed,Fly Speed,Burrow Speed,Swim Speed,Climb Speed,Number of Skills,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Saving Throw Bonus,Passive Perception,"Truesight (0 if none, else range in ft.)","Darkvision (0 if none, else range in ft.)","Blindsight (0 if none, else range in ft.)","Tremorsense (0 if none, else range in ft.)",Number Of Passive Abilities,Number of Actions,Max. Attack Bonus,Max. Damage Roll,Spellcasting,Number of Spells Known,Max. Spell Level,Spell Save DC,Spoken Languages,"Telepathy (0 if none, else range in ft.)",Number of Legendary Actions,Number of Legendary Saves,Weaknesses,Damage Immunities,Number of Immunities,Resistances,Number of Resistances,Condition Immunities
Arakocra,2,Medium,13,12,20,50,0,0,0,1,10,14,10,11,12,11,None,0,15,0,0,0,0,1,2,4,8,No,0,0,0,"Aarakocra, Auran",0,0,0,None,,0,,0,None
Aboleth,13,Large,135,17,10,40,0,0,0,2,21,9,15,18,15,18,"Con, Int, Wis",4,20,0,120,0,0,3,4,9,23,No,0,0,0,Deep Speech,120,3,0,None,,0,,0,None
Deva,13,Medium,136,17,30,90,0,0,0,2,18,18,18,17,20,20,"Wis, Con",4,19,0,120,0,0,3,4,8,42,Yes,3,5,17,All,120,0,0,None,,0,"Radiant, BPS From Nonmagical Attacks",2,"Charmed, Exhaustion, Frightened"
Planetar,19,Large,200,19,40,120,0,0,0,1,24,20,24,19,22,25,"Con, Wis, Cha",5,21,120,0,0,0,4,3,12,71,Yes,9,8,20,All,120,0,0,None,,0,"Radiant, BPS From Nonmagical Attacks",2,"Charmed, Exhaustion, Frightened"
Solar,24,Large,243,21,50,150,0,0,0,1,26,22,26,25,25,30,"Int, Wis, Cha",7,24,120,0,0,0,4,5,15,80,Yes,7,8,25,All,120,3,0,None,"Necrotic, Poison",2,"Radiant, BPS From Nonmagical Attacks",2,"Charmed, Exhaustion, Frightened, Poisoned"
Animated Armor,4,Medium,33,18,25,0,0,0,0,0,14,11,13,1,3,1,None,0,6,0,0,60,0,2,2,4,8,No,0,0,0,None,0,0,0,None,"Poison, Psychic",2,,0,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned"
Flying Sword,2,Small,17,17,0,50,0,0,0,0,12,15,11,1,5,1,Dex,2,7,0,0,60,0,2,1,3,9,No,0,0,0,None,0,0,0,None,"Poison, Psychic",2,,0,"Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned"
Rug of Smothering,5,Large,33,12,10,0,0,0,0,0,17,14,10,1,3,1,None,0,6,0,0,60,0,3,1,5,15,No,0,0,0,None,0,0,0,None,"Poison, Psychic",2,,0,"Blinded, Charmed, Deafened, Frightened, Paralyzed, Petrified, Poisoned"
Ankheg,5,Large,39,14,30,0,10,0,0,0,17,11,13,1,13,6,None,0,11,0,60,0,60,0,2,5,21,No,0,0,0,None,0,0,0,None,,0,,0,None
Azer,5,Medium,39,17,30,0,0,0,0,0,17,12,15,12,13,10,Con,2,11,0,0,0,0,3,1,5,19,No,0,0,0,Ignan,0,0,0,None,,0,,0,None
Banshee,7,Medium,58,12,0,40,0,0,0,0,1,14,10,12,11,17,"Wis, Cha",2,10,0,60,0,0,2,3,4,20,No,0,0,0,"Common, Elvish",0,0,0,None,"Cold, Necrotic, Poison",3,"Acid, Fire, Lightning, Thunder, BPS From Nonmagical Attacks",5,"Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained"
Basilisk,6,Medium,52,15,20,0,0,0,0,0,16,8,15,2,8,7,None,0,9,0,60,0,0,1,1,5,27,No,0,0,0,None,0,0,0,None,,0,,0,None
Behir,14,Huge,168,17,50,0,0,0,40,2,23,16,18,7,14,12,None,0,16,0,90,0,0,0,5,10,52,No,0,0,0,Draconic,0,0,0,None,Lightning,1,,0,None
Beholder,16,Large,180,18,0,20,0,0,0,1,10,14,18,17,15,17,"Int, Wis, Cha",5,22,0,120,0,0,1,2,5,24,No,0,0,0,"Deep Speech, Undercommon",0,3,0,None,,0,,0,Prone
Death Tyrant,17,Large,187,19,0,20,0,0,0,1,10,14,14,19,15,19,"Str, Con, Int, Wis, Cha",5,22,0,120,0,0,1,2,5,24,No,0,0,0,"Deep Speech, Undercommon",0,3,0,None,Poison,1,,0,"Charmed, Exhaustion, Paralyzed, Petrified, Poisoned, Prone"
Spectator,6,Medium,39,14,0,30,0,0,0,1,8,14,14,13,14,11,None,0,16,0,0,0,0,0,3,5,5,No,0,0,0,"Deep Speech, Undercommon",120,0,0,None,,0,,0,Prone
Needle Blight,2,Medium,11,12,30,0,0,0,0,0,12,12,13,4,8,3,None,0,9,0,0,60,0,1,2,3,13,No,0,0,0,Common,0,0,0,None,,0,,0,"Blinded, Deafened"
Twig Blight,1,Small,4,13,20,0,0,0,0,1,6,31,12,4,8,3,None,0,9,0,0,60,0,1,1,3,5,No,0,0,0,Common,0,0,0,Fire,,0,,0,"Blinded, Deafened"
Vine Blight,3,Medium,26,12,10,0,0,0,0,1,15,8,14,5,10,3,None,0,10,0,0,60,0,2,2,4,14,No,0,0,0,Common,0,0,0,None,,0,,0,"Blinded, Deafened"
Bugbear,4,Medium,27,16,30,0,0,0,0,2,15,14,13,8,11,9,None,0,10,0,60,0,0,3,2,4,18,No,0,0,0,"Common, Goblin",0,0,0,None,,0,,0,None
Bugbear Chief,6,Medium,65,17,30,0,0,0,0,3,17,14,14,11,12,11,None,0,11,0,60,0,0,3,3,5,19,No,0,0,0,"Common, Goblin",0,0,0,None,,0,,0,None
Bulette,8,Large,94,17,40,0,40,0,0,1,19,11,21,2,10,5,None,0,16,0,60,0,60,1,2,7,52,No,0,0,0,None,0,0,0,None,,0,,0,None
Bullywug,2,Medium,11,15,20,0,0,40,0,1,12,12,13,7,10,7,None,0,10,0,0,0,0,4,3,3,9,No,0,0,0,Bullywug,0,0,0,None,,0,,0,None
Cambion,8,Medium,82,19,30,60,0,0,0,4,18,18,16,14,12,16,"Str, Con, Int, Cha",3,14,0,60,0,0,2,4,7,18,Yes,4,7,14,"Abyssal, Common, Infernal",0,0,0,None,,0,"Cold, Fire, Lightning, Poison, BPS From Nonmagical Attacks",5,None
Carrion Crawler,5,Large,51,13,30,0,0,0,30,1,14,13,16,1,12,5,None,0,13,0,60,0,0,2,3,8,6,No,0,0,0,None,0,0,0,None,,0,,0,None
Centaur,5,Large,45,12,50,0,0,0,0,3,18,14,14,9,13,11,None,0,13,0,0,0,0,1,4,6,16,No,0,0,0,"Elvish, Sylvan",0,0,0,None,,0,,0,None
Chimera,9,Large,114,14,30,60,0,0,0,1,19,11,19,3,14,10,None,0,18,0,60,0,0,0,5,7,16,No,0,0,0,Draconic,0,0,0,None,,0,,0,None
Chuul,7,Large,93,16,30,0,0,30,0,1,19,10,16,5,11,5,None,0,14,0,60,0,0,2,3,6,16,No,0,0,0,Deep Speech,0,0,0,None,Poison,1,,0,Poisoned
Cloaker,11,Large,78,14,10,40,0,0,0,1,17,15,12,13,12,14,None,0,11,0,60,0,0,3,5,6,15,No,0,0,0,"Deep Speech, Undercommon",0,0,0,None,,0,,0,None
Cockatrice,3,Small,27,11,20,40,0,0,0,0,6,12,12,2,13,5,None,0,11,0,60,0,0,0,1,3,5,No,0,0,0,None,0,0,0,None,,0,,0,None
Couatl,7,Medium,97,19,30,90,0,0,0,0,16,20,17,18,20,18,"Con, Wis, Cha",2,15,120,0,0,0,3,3,8,15,Yes,13,5,14,All,120,0,0,None,"Psychic, BPS From Nonmagical Attacks",2,Radiant,1,None
Crawling Claw,0,Tiny,2,12,20,0,0,0,20,0,13,14,11,5,10,4,None,0,10,0,0,30,0,1,1,3,5,No,0,0,0,Common,0,0,0,None,Poison,1,,0,"Charmed, Exhaustion, Poisoned"
Cyclops,9,Huge,138,14,30,0,0,0,0,0,22,11,20,8,6,10,None,0,8,0,0,0,0,1,3,9,46,No,0,0,0,Giant,0,0,0,None,,0,,0,None
Darkmantle,3,Small,22,11,10,30,0,0,0,1,16,12,13,2,10,5,None,0,10,0,0,60,0,2,2,5,9,No,0,0,0,None,0,0,0,None,,0,,0,None
Death Knight,20,Medium,180,20,30,0,0,0,0,0,20,11,20,12,16,18,"Dex, Wis, Cha",6,13,0,120,0,0,3,3,11,47,Yes,10,5,18,"Abyssal, Common",0,0,0,None,"Necrotic, Poison",2,,0,"Exhaustion, Frightened, Poisoned"
Demilich,21,Tiny,80,20,0,30,0,0,0,0,1,20,10,20,17,20,"Con, Int, Wis, Cha",6,13,120,0,0,0,3,2,0,0,No,0,0,0,None,0,3,3,None,"Necrotic, Poison, Psychic, BPS From Nonmagical Attacks",4,BPS From Magic Weapons,1,"Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Prone, Stunned"
Balor,22,Huge,262,19,40,80,0,0,0,0,26,15,22,20,16,22,"Str, Con, Wis, Cha",6,13,120,0,0,0,4,4,14,56,No,0,0,0,Abyssal,120,0,0,None,"Fire, Poison",2,"Cold, Lightning, BPS From Nonmagical Attacks",3,Poisoned
Balgura,8,Large,68,15,40,0,0,0,40,2,18,15,16,7,14,9,"Dex, Con",3,15,0,120,30,0,3,3,7,16,Yes,4,2,13,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning",3,Poisoned
Chasme,9,Large,84,15,20,60,0,0,0,1,15,15,12,11,14,10,"Dex, Wis",3,15,0,120,10,0,3,1,5,68,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning",3,Poisoned
Dretch,2,Small,18,11,20,0,0,0,0,0,11,11,12,5,8,3,None,0,9,0,60,0,0,0,4,2,8,No,0,0,0,Abyssal,60,0,0,None,Poison,1,"Cold, Fire, Lightning",3,Poisoned
Glabrezu,12,Large,157,17,40,0,0,0,0,0,20,15,21,19,17,16,"Str, Con, Wis, Cha",4,13,120,0,0,0,2,3,9,25,Yes,6,8,16,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Goristro,20,Huge,310,19,40,0,0,0,0,1,25,11,25,6,13,14,"Str, Dex, Con, Wis",6,17,0,120,0,0,4,4,13,37,No,0,0,0,Abyssal,0,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Hezrou,11,Large,136,16,30,0,0,0,0,0,19,17,20,5,12,13,"Str, Con, Wis",3,11,0,120,0,0,2,3,7,24,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Manes,1,Small,9,9,20,0,0,0,0,0,10,9,13,3,8,4,None,0,9,0,60,0,0,0,1,2,8,No,0,0,0,Abyssal,0,0,0,None,Poison,1,"Cold, Fire, Lightning",3,"Charmed, Frightened, Poisoned"
Marilith,19,Large,189,18,40,0,0,0,0,0,18,20,20,18,16,20,"Str, Con, Wis, Cha",5,13,120,0,0,0,3,4,9,24,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Nalfenshee,16,Large,184,18,20,30,0,0,0,0,21,10,22,19,12,15,"Con, Int, Wis, Cha",5,11,120,0,0,0,1,5,10,55,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Quasit,4,Tiny,7,13,40,0,0,0,0,1,5,17,10,7,10,10,None,0,10,0,120,0,0,2,3,4,7,No,0,0,0,"Abyssal, Common",0,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Shadow Demon,7,Medium,66,13,30,30,0,0,0,1,1,17,12,14,13,14,"Dex, Cha",2,11,0,120,0,0,3,1,5,27,No,0,0,0,Abyssal,120,0,0,Radiant,"Cold, Lightning, Poison",3,"Acid, Fire, Necrotic, Thunder, BPS From Nonmagical Attacks",5,"Exhaustion, Grappled, Paralyszed, Petrified, Poisoned, Prone, Restrained"
Vrock,9,Large,104,15,40,60,0,0,0,0,17,15,18,8,13,8,"Dex, Wis, Cha",2,11,0,120,0,0,1,5,6,23,No,0,0,0,Abyssal,120,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Yochlol,13,Medium,136,15,30,0,0,0,30,2,15,14,18,13,15,15,"Dex, Int, Wis, Cha",4,12,0,120,0,0,4,3,6,44,Yes,3,5,14,"Abyssal, Elvish, Undercommon",0,0,0,None,Poison,1,"Cold, Fire, Lightning, BPS From Nonmagical Attacks",4,Poisoned
Barbed Devil,8,Medium,110,15,30,0,0,0,0,0,16,17,18,12,14,14,"Str, Con, Wis, Cha",3,18,0,120,0,0,3,4,6,15,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Bearded Devil,6,Medium,52,13,30,0,0,0,0,0,16,15,15,9,11,11,"Str, Con, Wis",2,10,0,120,0,0,3,3,5,13,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Bone Devil,12,Large,142,19,40,40,0,0,0,2,18,16,18,13,14,16,"Int, Wis, Cha",4,12,0,120,0,0,2,3,8,50,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Chain Devil,11,Medium,85,16,30,0,0,0,0,0,18,15,18,11,12,14,"Con, Wis, Cha",3,11,0,120,0,0,2,3,8,16,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Erinyes,15,Medium,153,18,30,60,0,0,0,0,18,16,18,14,14,18,"Dex, Con, Wis, Cha",4,12,120,0,0,0,2,3,8,35,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Horned Devil,14,Large,178,18,20,60,0,0,0,0,22,17,21,12,16,17,"Str, Dex, Wis, Cha",4,13,0,120,0,0,2,4,10,24,No,0,0,0,Infernal,120,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Ice Devil,17,Large,180,18,40,0,0,0,0,0,21,14,18,18,15,18,"Dex, Con, Wis, Cha",5,12,0,120,60,0,2,5,10,35,No,0,0,0,Infernal,120,0,0,None,"Cold, Fire, Poison",3,BPS From Nonmagical Attacks,1,Poisoned
Imp,4,Tiny,10,13,20,40,0,0,0,4,6,17,13,11,12,14,None,0,11,0,120,0,0,3,2,5,7,No,0,0,0,"Infernal, Common",0,0,0,None,"Fire, Poison",2,"Cold, BPS From Nonmagical Attacks",2,Poisoned
Lemure,0,Medium,13,7,15,0,0,0,0,0,10,5,11,1,11,3,None,0,10,0,120,0,0,2,1,3,4,No,0,0,0,Infernal,0,0,0,None,"Fire, Poison",2,Cold,1,"Charmed, Frightened, Poisoned"
